"","feature","effect","sig"
"99","MTAP",3.55094810699049,56.0228662345704
"100","CDKN2A",3.93547160621616,23.0310044430093
"101","SERPINE1",-1.70067992123679,3.98898932777106
"102","SRGN",-1.66238904841274,4.26703463249596
"103","ARHGDIB",-1.60548135150898,4.57681651084402
"104","THY1",-1.52429207254537,4.07147307278313
"105","CAPG",-1.50608257722758,5.08206553040144
"106","SLFN11",-1.4874892710326,6.03661801944902
"107","SPARC",-1.45819908769315,2.34146838863955
"108","AXL",-1.41513258758394,3.70328640880874
"109","MT1E",-1.38714438785664,2.69077681658954
"110","TFPI",-1.37541497123018,4.31325256990988
"111","RAC2",-1.36049939618746,4.05987278589642
"112","PLAU",-1.3301294560005,3.01960927982148
"113","SLC43A3",-1.32032137387402,3.46733961310747
"114","CD44",-1.31981854519782,3.20439673546144
"115","ANPEP",-1.30047316007689,3.91519155686876
"116","ETS1",-1.29886919624354,5.23647483787322
"117","TGFB1I1",-1.29531242454066,5.64029755000137
"118","KCNN4",-1.26447122142417,4.91228171643333
"119","SEMA7A",-1.25299261393739,6.63315031653133
"120","WNT5B",-1.25037792821486,6.16271366566647
"121","MME",-1.23940140486234,3.8442754362746
"122","COL1A2",-1.22459011208349,2.78968493808173
"123","VIM",-1.22190618719415,1.79658732830915
"124","COL6A3",-1.19077249496235,3.76423019606356
"125","VAMP5",-1.18351801184253,4.19168388408004
"126","IGFBP4",-1.18205969942533,3.19031785113074
"127","ENG",-1.17543210889815,4.8924275358453
"128","TGM2",-1.16557584487937,2.45006326036061
"129","NT5E",-1.16311717812076,3.09457584739219
"130","BCAT1",-1.15649093003554,3.93787838060803
"131","FOSL1",-1.154999410397,2.98634994506032
"132","LAYN",-1.15056197854144,4.3775820929084
"133","CDH13",-1.13210627179849,3.88694519767053
"134","ITGA4",-1.13034873634106,3.92463161763083
"135","PTX3",-1.12280851739894,3.63196134115304
"136","CAV1",-1.11630722746395,2.12371462060715
"137","FXYD5",-1.11487478855217,3.28509316987418
"138","TGFBI",-1.11049327611926,1.73593328290803
"139","NNMT",-1.10805255133222,2.03659185250214
"140","EMP3",-1.10681492719811,2.98266400180148
"141","CNRIP1",-1.1036229491177,4.06268785663186
"142","AKR1B1",-1.09786720648371,2.84439280319314
"143","ITGBL1",-1.09527847517825,4.58745679243397
"144","MSN",-1.08873364474941,2.98247809238827
"145","LOX",-1.07508994275435,3.14415574824542
"146","COPZ2",-1.07248237631617,4.36899028072377
